prefecture_code,prefecture_name,fiscal_year,population,source
01,北海道,2022,5196860,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
02,青森県,2022,1231408,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
03,岩手県,2022,1204104,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
04,宮城県,2022,2289768,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
05,秋田県,2022,954405,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
06,山形県,2022,1062354,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
07,福島県,2022,1823414,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
08,茨城県,2022,2851779,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
09,栃木県,2022,1922877,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
10,群馬県,2022,1928809,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
11,埼玉県,2022,7305749,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
12,千葉県,2022,6251096,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
13,東京都,2022,13972972,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
14,神奈川県,2022,9188267,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
15,新潟県,2022,2189579,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
16,富山県,2022,1029317,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
17,石川県,2022,1126510,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
18,福井県,2022,762789,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
19,山梨県,2022,805671,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
20,長野県,2022,2037132,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
21,岐阜県,2022,1968231,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
22,静岡県,2022,3613902,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
23,愛知県,2022,7502349,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
24,三重県,2022,1760850,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
25,滋賀県,2022,1406101,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
26,京都府,2022,2564392,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
27,大阪府,2022,8790738,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
28,兵庫県,2022,5435971,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
29,奈良県,2022,1317437,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
30,和歌山県,2022,917683,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
31,鳥取県,2022,550467,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
32,島根県,2022,667561,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
33,岡山県,2022,1878400,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
34,広島県,2022,2784830,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
35,山口県,2022,1334930,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
36,徳島県,2022,715737,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
37,香川県,2022,945196,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
38,愛媛県,2022,1327750,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
39,高知県,2022,687854,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
40,福岡県,2022,5107935,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
41,佐賀県,2022,807132,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
42,長崎県,2022,1305346,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
43,熊本県,2022,1729067,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
44,大分県,2022,1117882,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
45,宮崎県,2022,1063894,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
46,鹿児島県,2022,1579819,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
47,沖縄県,2022,1459685,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
01,北海道,2023,5150308,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
02,青森県,2023,1220377,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
03,岩手県,2023,1193317,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
04,宮城県,2023,2269256,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
05,秋田県,2023,945856,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
06,山形県,2023,1052837,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
07,福島県,2023,1807080,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
08,茨城県,2023,2826233,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
09,栃木県,2023,1905652,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
10,群馬県,2023,1911531,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
11,埼玉県,2023,7240305,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
12,千葉県,2023,6195100,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
13,東京都,2023,13847804,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
14,神奈川県,2023,9105960,総務省統計局 人口推計（全国総人口）に基づく国勢調査2020按分
