"age_group","visit_type","online_count.2022","denominator_count.2022","proportion.2022","online_count.2023","denominator_count.2023","proportion.2023","online_count.2024","denominator_count.2024","proportion.2024","proportion_baseline","proportion_end","abs_change_pp","relative_change_pct","baseline_year","end_year"
"0～4歳","all",85958,34068475,0.00252309503140367,116709,35781020,0.00326175721094591,213343,32937076,0.0064772902124038,0.00252309503140367,0.0064772902124038,0.395419518100013,156.720025674194,2022,2024
"10～14歳","all",43475,38991535,0.00111498559879728,45052,44775232,0.00100618127450462,61187,45676607,0.00133956972767264,0.00111498559879728,0.00133956972767264,0.0224584128875358,20.1423344945096,2022,2024
"15～19歳","all",36799,30520604,0.00120571008358812,35526,34447129,0.00103131962027953,48211,35635170,0.00135290500929279,0.00120571008358812,0.00135290500929279,0.0147194925704663,12.2081524993653,2022,2024
"20～24歳","all",58342,30342187,0.00192280141177694,76337,31427164,0.00242901332108745,133820,31493819,0.00424908773369149,0.00192280141177694,0.00424908773369149,0.232628632191455,120.984221650052,2022,2024
"25～29歳","all",80424,35628015,0.00225732474851602,113824,37403787,0.00304311432422605,204567,37736993,0.00542086116930408,0.00225732474851602,0.00542086116930408,0.316353642078806,140.145383284695,2022,2024
"30～34歳","all",84059,40528103,0.00207409164944138,117048,42467839,0.00275615625273516,207676,42972480,0.00483276738973408,0.00207409164944138,0.00483276738973408,0.27586757402927,133.006453260429,2022,2024
"35～39歳","all",85100,47963831,0.00177425360372069,112379,50088159,0.00224362408688249,189142,49662621,0.00380853841765621,0.00177425360372069,0.00380853841765621,0.203428481393552,114.655808485864,2022,2024
"40～44歳","all",78450,55952381,0.00140208510518971,96379,58046574,0.00166037361653764,159906,58066055,0.00275386368162948,0.00140208510518971,0.00275386368162948,0.135177857643977,96.4120203143346,2022,2024
"45～49歳","all",73165,74406925,0.000983309013240367,83416,75978912,0.00109788358117052,134111,74950498,0.0017893276706447,0.000983309013240367,0.0017893276706447,0.080601865740433,81.970026365181,2022,2024
"5～9歳","all",62900,42824454,0.00146878696923958,73455,51530616,0.00142546326246129,107410,49467146,0.00217134014563929,0.00146878696923958,0.00217134014563929,0.0702553176399705,47.8322037921829,2022,2024
"50～54歳","all",63174,87364795,0.000723105914687947,70608,94408531,0.000747898513535816,112221,97521997,0.0011507250000223,0.000723105914687947,0.0011507250000223,0.0427619085334355,59.1364386113329,2022,2024
"55～59歳","all",46526,87301949,0.000532931973832566,51094,95306089,0.000536104256675562,76657,98600042,0.000777454029887736,0.000532931973832566,0.000777454029887736,0.024452205605517,45.8824142782607,2022,2024
"60～64歳","all",32420,94040977,0.000344743334599767,33851,101170849,0.000334592427903812,48406,103387742,0.000468198638093866,0.000344743334599767,0.000468198638093866,0.0123455303494099,35.810787650884,2022,2024
"65～69歳","all",24014,112019374,0.00021437363147557,23289,115535585,0.000201574259566869,30258,115529546,0.000261907027661997,0.00021437363147557,0.000261907027661997,0.00475333961864278,22.1731543470377,2022,2024
"70～74歳","all",24331,168235936,0.000144624273377598,20927,164923117,0.000126889428120619,26443,153980751,0.000171729257249823,0.000144624273377598,0.000171729257249823,0.00271049838722259,18.7416560437665,2022,2024
"75～79歳","all",18937,157747773,0.000120046068732774,19262,170459390,0.000113000521707839,27544,177718177,0.000154986960056427,0.000120046068732774,0.000154986960056427,0.00349408913236531,29.1062353748814,2022,2024
"80～84歳","all",17488,138246747,0.000126498455692415,19405,145555622,0.000133316733035568,29791,149052565,0.000199869086452823,0.000126498455692415,0.000199869086452823,0.00733706307604079,58.0012067015355,2022,2024
"85～89歳","all",15811,87791255,0.000180097664625024,20492,89675300,0.00022851331414559,31663,88315925,0.000358519712045138,0.000180097664625024,0.000358519712045138,0.0178422047420113,99.0696063669678,2022,2024
"90歳以上","all",13435,43080725,0.000311856404459303,21968,44828469,0.000490045734107047,38073,45541237,0.00083601154707326,0.000311856404459303,0.00083601154707326,0.0524155142613957,168.075798707017,2022,2024
