"fiscal_year","sex","age_group","online_count","denominator_count","visit_type","proportion"
2022,"female","0～4歳",19426,6328121,"initial",0.0030697895947312
2022,"female","10～14歳",7694,7576484,"initial",0.00101551062471722
2022,"female","15～19歳",8602,6068685,"initial",0.00141744051635569
2022,"female","20～24歳",17406,7179478,"initial",0.00242441024263881
2022,"female","25～29歳",24495,7829138,"initial",0.00312869692678811
2022,"female","30～34歳",24707,8007394,"initial",0.00308552320517761
2022,"female","35～39歳",22720,8524423,"initial",0.00266528303440597
2022,"female","40～44歳",19268,8574471,"initial",0.00224713571251218
2022,"female","45～49歳",16121,9194588,"initial",0.00175331401472257
2022,"female","5～9歳",11717,8784918,"initial",0.00133376316090827
2022,"female","50～54歳",13150,8783825,"initial",0.00149706989836432
2022,"female","55～59歳",8637,7127099,"initial",0.00121185351852135
2022,"female","60～64歳",4955,6266135,"initial",0.000790758577655923
2022,"female","65～69歳",3196,6008655,"initial",0.0005318994017796
2022,"female","70～74歳",2683,7473077,"initial",0.000359022127030138
2022,"female","75～79歳",2051,6045152,"initial",0.000339280137207468
2022,"female","80～84歳",1971,4809229,"initial",0.000409837002979064
2022,"female","85～89歳",1908,3153993,"initial",0.000604947442812968
2022,"female","90歳以上",1541,1917615,"initial",0.000803602391512373
2022,"male","0～4歳",21232,6981213,"initial",0.00304130528605845
2022,"male","10～14歳",8788,8610978,"initial",0.00102055771133082
2022,"male","15～19歳",9097,6008218,"initial",0.00151409286414042
2022,"male","20～24歳",13221,5062842,"initial",0.00261137914238683
2022,"male","25～29歳",17234,5232887,"initial",0.00329340190223867
2022,"male","30～34歳",17286,5477745,"initial",0.00315567811206984
2022,"male","35～39歳",16512,5880465,"initial",0.00280794120873094
2022,"male","40～44歳",14752,5938816,"initial",0.00248399681013859
2022,"male","45～49歳",12971,6344166,"initial",0.00204455558067049
2022,"male","5～9歳",12606,9552892,"initial",0.00131960038907589
2022,"male","50～54歳",10688,5871946,"initial",0.00182018022645304
