"fiscal_year","sex","age_group","online_count","denominator_count","visit_type","proportion"
2022,"female","0～4歳",40987,15737693,"all",0.00260438426394517
2022,"female","10～14歳",18929,17553254,"all",0.0010783755536153
2022,"female","15～19歳",18096,15438034,"all",0.00117216997967487
2022,"female","20～24歳",33907,18240964,"all",0.00185883816228134
2022,"female","25～29歳",48402,22378407,"all",0.00216288853804473
2022,"female","30～34歳",50415,25346997,"all",0.00198899301562232
2022,"female","35～39歳",50487,29314473,"all",0.00172225507857501
2022,"female","40～44歳",45874,33004068,"all",0.00138994986921006
2022,"female","45～49歳",41342,42453910,"all",0.000973809008404644
2022,"female","5～9歳",28926,19483851,"all",0.00148461410426512
2022,"female","50～54歳",35080,49151869,"all",0.000713706329254743
2022,"female","55～59歳",24726,47075038,"all",0.000525246522371368
2022,"female","60～64歳",16728,49411346,"all",0.000338545725914854
2022,"female","65～69歳",12726,59077143,"all",0.000215413260590479
2022,"female","70～74歳",13193,91406726,"all",0.000144332923596892
2022,"female","75～79歳",10709,88416387,"all",0.000121120081507063
2022,"female","80～84歳",10618,79544055,"all",0.000133485777158331
2022,"female","85～89歳",10323,53356972,"all",0.000193470499038064
2022,"female","90歳以上",10041,29596727,"all",0.000339260486472035
2022,"male","0～4歳",44971,18330782,"all",0.00245330504721512
2022,"male","10～14歳",24546,21438281,"all",0.00114496120281286
2022,"male","15～19歳",18703,15082570,"all",0.00124004065620116
2022,"male","20～24歳",24435,12101223,"all",0.00201921739645654
2022,"male","25～29歳",32022,13249608,"all",0.00241682621855681
2022,"male","30～34歳",33644,15181106,"all",0.00221617581749314
2022,"male","35～39歳",34613,18649358,"all",0.00185598882277878
2022,"male","40～44歳",32576,22948313,"all",0.00141953789805813
2022,"male","45～49歳",31823,31953015,"all",0.000995931056897135
2022,"male","5～9歳",33974,23340603,"all",0.00145557507661649
2022,"male","50～54歳",28094,38212926,"all",0.000735196252702554
2022,"male","55～59歳",21800,40226911,"all",0.000541925777000377
2022,"male","60～64歳",15692,44629631,"all",0.000351604968456943
2022,"male","65～69歳",11288,52942231,"all",0.000213213530801148
2022,"male","70～74歳",11138,76829210,"all",0.00014497090364459
2022,"male","75～79歳",8228,69331386,"all",0.000118676410132635
2022,"male","80～84歳",6870,58702692,"all",0.000117030408077367
2022,"male","85～89歳",5488,34434283,"all",0.000159376049735085
2022,"male","90歳以上",3394,13483998,"all",0.000251705762638054
2023,"female","0～4歳",54961,16553464,"all",0.00332021140711092
2023,"female","10～14歳",19768,20081031,"all",0.000984411607153039
2023,"female","15～19歳",18624,17123025,"all",0.00108765828467809
2023,"female","20～24歳",50079,18843949,"all",0.00265756397451511
2023,"female","25～29歳",74673,23449846,"all",0.00318437059245506
2023,"female","30～34歳",75381,26456262,"all",0.00284926872889299
2023,"female","35～39歳",70706,30475121,"all",0.00232012204315776
2023,"female","40～44歳",58702,34166601,"all",0.00171811061919797
2023,"female","45～49歳",48158,43171088,"all",0.00111551508731955
2023,"female","5～9歳",33344,23704606,"all",0.00140664645512353
2023,"female","50～54歳",39924,52704507,"all",0.000757506374170239
2023,"female","55～59歳",27672,51055417,"all",0.00054199929460962
2023,"female","60～64歳",17181,52772112,"all",0.00032556968726209
2023,"female","65～69歳",11848,60464215,"all",0.000195950613102312
2023,"female","70～74歳",10939,89051632,"all",0.000122838849264436
2023,"female","75～79歳",10607,95211647,"all",0.000111404437736488
2023,"female","80～84歳",11823,84122266,"all",0.000140545429434818
2023,"female","85～89歳",14040,54600910,"all",0.000257138571499999
2023,"female","90歳以上",16695,30800684,"all",0.000542033417179956
2023,"male","0～4歳",61748,19227556,"all",0.00321143259184891
2023,"male","10～14歳",25284,24694201,"all",0.00102388410947169
2023,"male","15～19歳",16902,17324104,"all",0.000975634872660658
2023,"male","20～24歳",26258,12583215,"all",0.00208674810054505
2023,"male","25～29歳",39151,13953941,"all",0.00280573065344049
2023,"male","30～34歳",41667,16011577,"all",0.00260230456999957
2023,"male","35～39歳",41673,19613038,"all",0.00212476007031649
2023,"male","40～44歳",37677,23879973,"all",0.00157776560300131
2023,"male","45～49歳",35258,32807824,"all",0.00107468267325501
2023,"male","5～9歳",40111,27826010,"all",0.00144149304912921
2023,"male","50～54歳",30684,41704024,"all",0.00073575633852503
2023,"male","55～59歳",23422,44250672,"all",0.00052930269623928
2023,"male","60～64歳",16670,48398737,"all",0.000344430475530797
2023,"male","65～69歳",11441,55071370,"all",0.000207748599680742
2023,"male","70～74歳",9988,75871485,"all",0.000131643660329042
2023,"male","75～79歳",8655,75247743,"all",0.000115020061133262
2023,"male","80～84歳",7582,61433356,"all",0.000123418294126728
2023,"male","85～89歳",6452,35074390,"all",0.000183951880560147
2023,"male","90歳以上",5273,14027785,"all",0.000375896836171926
2024,"female","0～4歳",100466,15268731,"all",0.00657985264132298
2024,"female","10～14歳",26682,20574068,"all",0.00129687527036462
2024,"female","15～19歳",25334,17770681,"all",0.00142560659324198
2024,"female","20～24歳",86491,18902137,"all",0.00457572601447127
2024,"female","25～29歳",131359,23687756,"all",0.00554543874903136
2024,"female","30～34歳",131071,26767326,"all",0.00489667888380035
2024,"female","35～39歳",115168,30149862,"all",0.00381985164641881
2024,"female","40～44歳",93459,34264036,"all",0.0027276121236856
2024,"female","45～49歳",74472,42998208,"all",0.00173197915596855
2024,"female","5～9歳",48223,22767037,"all",0.00211810610225652
2024,"female","50～54歳",60625,55008064,"all",0.00110211113774155
2024,"female","55～59歳",40137,53402909,"all",0.000751588270219512
2024,"female","60～64歳",23532,54320417,"all",0.000433207278213641
2024,"female","65～69歳",15052,60747196,"all",0.00024778098399801
2024,"female","70～74歳",13457,83186330,"all",0.000161769367635283
2024,"female","75～79歳",14796,99098191,"all",0.000149306459085615
2024,"female","80～84歳",18085,86249507,"all",0.000209682357952492
2024,"female","85～89歳",21850,53635775,"all",0.000407377352149755
2024,"female","90歳以上",29233,31178054,"all",0.000937614643941537
