"term","estimate","se","rr","rr_lcl","rr_ucl"
"(Intercept)",-5.46439550655184,0.00366902666543098,0.00423490024289674,0.00420455507878621,0.00426546441448074
"age_group5～9歳",-0.861310873024104,0.00568890977568172,0.422607733978739,0.417921720224817,0.427346290407136
"age_group10～14歳",-1.33022296653266,0.00672151295065398,0.264418298295538,0.260957653508724,0.26792483582464
"age_group15～19歳",-1.10998492254302,0.00704510855665417,0.329563930023705,0.325044450474442,0.334146249271866
"age_group20～24歳",-0.637178729115495,0.00584135916855607,0.528782159291825,0.522762623303791,0.534871009366016
"age_group25～29歳",-0.394070144388644,0.00530740633938684,0.674306755746391,0.667328626622065,0.681357853846021
"age_group30～34歳",-0.357177787404237,0.00523569817630363,0.699648098057358,0.692505044943791,0.706864830356594
"age_group35～39歳",-0.480546181977458,0.00527833273216105,0.618445515748892,0.612080350064595,0.62487687426912
"age_group40～44歳",-0.664322925385952,0.00548562732082934,0.514621847162743,0.509118360075159,0.520184826055177
"age_group45～49歳",-0.921633873279606,0.00573157649825753,0.397868443113925,0.393423844622244,0.402363253243823
"age_group50～54歳",-1.10152785586092,0.00610979163315391,0.332362892981861,0.328406520099266,0.336366929005802
"age_group55～59歳",-1.30962408877282,0.00694836247383754,0.269921503839624,0.266270417561543,0.273622653625068
"age_group60～64歳",-1.69189099733715,0.00830824712454596,0.184170927765613,0.181196144770379,0.187194549183321
"age_group65～69歳",-2.17656302129354,0.0102088177085819,0.113430720409562,0.111183609567819,0.115723247182257
"age_group70～74歳",-2.61853845736225,0.0112699270961383,0.0729093451108522,0.0713165033742759,0.074537762691416
"age_group75～79歳",-2.82956307228945,0.0128593887447623,0.0590386436542641,0.0575692058886528,0.0605455884049671
"age_group80～84歳",-2.77995771081152,0.0135033425890025,0.0620411309909644,0.0604206550009187,0.0637050679867585
"age_group85～89歳",-2.47887112723395,0.0140078086197999,0.0838378144182383,0.0815673326671624,0.0861714965611059
"age_group90歳以上",-2.28143497925212,0.0154242893153031,0.102137536260779,0.0990959618896796,0.105272466349694
"sexfemale",0.0186768058105703,0.00101893568714815,1.01885230825391,1.01681957457537,1.02088910558968
"visit_typefollowup",-1.11610208716775,0.00377290615228899,0.327554086747779,0.32514079235083,0.329985293353788
"fiscal_year2023",0.228016958333136,0.00460779938721971,1.25610662672636,1.24481344029292,1.26750226711449
"fiscal_year2024",0.893693717860389,0.00414356522287574,2.44414096555591,2.4243715351135,2.46407160494436
"age_group5～9歳:visit_typefollowup",0.721532014437136,0.00516551376426595,2.05758304416186,2.03685633589331,2.07852066393561
"age_group10～14歳:visit_typefollowup",1.09420023098641,0.00616778821707879,2.98679298343859,2.95090341570512,3.02311904836992
