"fiscal_year","online_count","denominator_count","era","visit_type","proportion"
2019,2134,1468449089,"legacy","all_outpatient",1.45323390234335e-06
2020,9798,1311232294,"legacy","all_outpatient",7.47236019493583e-06
2021,7726,1368988011,"legacy","all_outpatient",5.6435848509414e-06
2022,388266,230867928,"ict","initial",0.0016817667285514
2023,464977,255899548,"ict","initial",0.00181702939154859
2024,745133,256835434,"ict","initial",0.00290120793846538
2022,556542,1176188113,"ict","followup",0.000473174311021115
2023,686044,1227909836,"ict","followup",0.000558708774770333
2024,1135296,1231411013,"ict","followup",0.000921947252391513
2022,944808,1407056041,"ict","all",0.000671478585407673
2023,1151021,1483809384,"ict","all",0.000775720259227044
2024,1880429,1488246447,"ict","all",0.00126351989873086
