area_type,prefecture_code,sma_code,prefecture_name,area_name,column,fiscal_year,procedure_code,procedure_name,count
prefecture,01,,北海道,北海道,6,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,14237.0
prefecture,02,,青森県,青森県,7,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,856.0
prefecture,03,,岩手県,岩手県,8,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,183.0
prefecture,04,,宮城県,宮城県,9,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,553.0
prefecture,05,,秋田県,秋田県,10,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,386.0
prefecture,06,,山形県,山形県,11,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,124.0
prefecture,07,,福島県,福島県,12,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,805.0
prefecture,08,,茨城県,茨城県,13,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,1122.0
prefecture,09,,栃木県,栃木県,14,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,1799.0
prefecture,10,,群馬県,群馬県,15,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,1059.0
prefecture,11,,埼玉県,埼玉県,16,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,31215.0
prefecture,12,,千葉県,千葉県,17,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,14612.0
prefecture,13,,東京都,東京都,18,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,214297.0
prefecture,14,,神奈川県,神奈川県,19,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,21209.0
prefecture,15,,新潟県,新潟県,20,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,3490.0
prefecture,16,,富山県,富山県,21,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,247.0
prefecture,17,,石川県,石川県,22,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,208.0
prefecture,18,,福井県,福井県,23,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,1631.0
prefecture,19,,山梨県,山梨県,24,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,1241.0
prefecture,20,,長野県,長野県,25,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,583.0
prefecture,21,,岐阜県,岐阜県,26,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,1189.0
prefecture,22,,静岡県,静岡県,27,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,985.0
prefecture,23,,愛知県,愛知県,28,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,11341.0
prefecture,24,,三重県,三重県,29,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,998.0
prefecture,25,,滋賀県,滋賀県,30,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,262.0
prefecture,26,,京都府,京都府,31,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,2647.0
prefecture,27,,大阪府,大阪府,32,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,35372.0
prefecture,28,,兵庫県,兵庫県,33,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,8330.0
prefecture,29,,奈良県,奈良県,34,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,391.0
prefecture,30,,和歌山県,和歌山県,35,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,488.0
prefecture,31,,鳥取県,鳥取県,36,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,320.0
prefecture,32,,島根県,島根県,37,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,1938.0
prefecture,33,,岡山県,岡山県,38,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,857.0
prefecture,34,,広島県,広島県,39,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,1756.0
prefecture,35,,山口県,山口県,40,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,842.0
prefecture,36,,徳島県,徳島県,41,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,169.0
prefecture,37,,香川県,香川県,42,2022,111014210,初診料（情報通信機器を用いた初診を行った場合）,37.0
