fiscal_year,hypothesis,outcome,n_prefectures,spearman_rho,p_value
3年平均,高齢化（65歳以上割合）,供給地人口10万人当たり主要オンライン算定回数,47,-0.4746762257169288,0.000748664529408292
3年平均,高齢化（65歳以上割合）,標準基本料1万回当たり主要オンライン算定回数,47,-0.5276364477335801,0.0001383110428260842
3年平均,高齢化（65歳以上割合）,一般診療所当たり主要オンライン算定回数,47,-0.49375578168362627,0.0004204103157864903
3年平均,高齢化（75歳以上割合）,供給地人口10万人当たり主要オンライン算定回数,47,-0.46137835337650324,0.001097939883909237
3年平均,高齢化（75歳以上割合）,標準基本料1万回当たり主要オンライン算定回数,47,-0.5062442183163738,0.00028284618707356113
3年平均,高齢化（75歳以上割合）,一般診療所当たり主要オンライン算定回数,47,-0.49225254394079554,0.0004405056881789144
3年平均,一般診療所密度,供給地人口10万人当たり主要オンライン算定回数,47,-0.14731729879740982,0.32307146392800556
3年平均,一般診療所密度,標準基本料1万回当たり主要オンライン算定回数,47,-0.23762719703977797,0.10775755082494332
3年平均,一般診療所密度,一般診療所当たり主要オンライン算定回数,47,-0.3107076780758557,0.03353078186933614
3年平均,一般診療所数,供給地人口10万人当たり主要オンライン算定回数,47,0.4221907434333384,0.003116316643770444
3年平均,一般診療所数,標準基本料1万回当たり主要オンライン算定回数,47,0.4513890898362193,0.001449374055978592
3年平均,一般診療所数,一般診療所当たり主要オンライン算定回数,47,0.41739180729187486,0.0035119893143510435
3年平均（東京都除外）,高齢化（65歳以上割合）,供給地人口10万人当たり主要オンライン算定回数,46,-0.439654640764724,0.002234382860898099
3年平均（東京都除外）,高齢化（65歳以上割合）,標準基本料1万回当たり主要オンライン算定回数,46,-0.49614554424915197,0.00045388726769136824
3年平均（東京都除外）,高齢化（65歳以上割合）,一般診療所当たり主要オンライン算定回数,46,-0.46000616712920134,0.0012979343897955387
3年平均（東京都除外）,高齢化（75歳以上割合）,供給地人口10万人当たり主要オンライン算定回数,46,-0.42719703977798335,0.0030663429212085228
3年平均（東京都除外）,高齢化（75歳以上割合）,標準基本料1万回当たり主要オンライン算定回数,46,-0.4746839346284305,0.0008588683181265085
3年平均（東京都除外）,高齢化（75歳以上割合）,一般診療所当たり主要オンライン算定回数,46,-0.45963613937711995,0.0013112088341491418
3年平均（東京都除外）,一般診療所密度,供給地人口10万人当たり主要オンライン算定回数,46,-0.21837804502004318,0.14483659066413393
3年平均（東京都除外）,一般診療所密度,標準基本料1万回当たり主要オンライン算定回数,46,-0.3147086031452359,0.03315742143592702
3年平均（東京都除外）,一般診療所密度,一般診療所当たり主要オンライン算定回数,46,-0.39253777366635834,0.006969446563080521
3年平均（東京都除外）,一般診療所数,供給地人口10万人当たり主要オンライン算定回数,46,0.3836689384783842,0.008485071232759689
3年平均（東京都除外）,一般診療所数,標準基本料1万回当たり主要オンライン算定回数,46,0.41481390133509277,0.004152223410869001
3年平均（東京都除外）,一般診療所数,一般診療所当たり主要オンライン算定回数,46,0.3785500633950044,0.009483205814554108
2022,高齢化（65歳以上割合）,供給地人口10万人当たり主要オンライン算定回数,47,-0.4530527289546717,0.0013846689357172334
2022,高齢化（65歳以上割合）,標準基本料1万回当たり主要オンライン算定回数,47,-0.4745605920444033,0.000751211594498591
2022,高齢化（65歳以上割合）,一般診療所当たり主要オンライン算定回数,47,-0.47028214616096203,0.0008510925189176617
2022,高齢化（75歳以上割合）,供給地人口10万人当たり主要オンライン算定回数,47,-0.4061054579093432,0.00462104421509613
2022,高齢化（75歳以上割合）,標準基本料1万回当たり主要オンライン算定回数,47,-0.42622571692876965,0.002814574979326614
2022,高齢化（75歳以上割合）,一般診療所当たり主要オンライン算定回数,47,-0.4328168362627197,0.0023768690143805365
2022,一般診療所密度,供給地人口10万人当たり主要オンライン算定回数,47,-0.026364477335800184,0.8603652928043103
2022,一般診療所密度,標準基本料1万回当たり主要オンライン算定回数,47,-0.08036540240518038,0.5912736004491579
2022,一般診療所密度,一般診療所当たり主要オンライン算定回数,47,-0.1604995374653099,0.2811651385375679
2022,一般診療所数,供給地人口10万人当たり主要オンライン算定回数,47,0.4345060855795041,0.002274871547084743
2022,一般診療所数,標準基本料1万回当たり主要オンライン算定回数,47,0.4244456652347491,0.0029443572631884327
2022,一般診療所数,一般診療所当たり主要オンライン算定回数,47,0.4470527017565835,0.0016308597862893302
2023,高齢化（65歳以上割合）,供給地人口10万人当たり主要オンライン算定回数,47,-0.4077243293246994,0.004445196092542905
2023,高齢化（65歳以上割合）,標準基本料1万回当たり主要オンライン算定回数,47,-0.42160037002775214,0.003162773974167598
2023,高齢化（65歳以上割合）,一般診療所当たり主要オンライン算定回数,47,-0.411308973172988,0.004076523267946391
2023,高齢化（75歳以上割合）,供給地人口10万人当たり主要オンライン算定回数,47,-0.41905642923219244,0.0033700077528645554
2023,高齢化（75歳以上割合）,標準基本料1万回当たり主要オンライン算定回数,47,-0.42726641998149867,0.00274105860301103
2023,高齢化（75歳以上割合）,一般診療所当たり主要オンライン算定回数,47,-0.42691951896392233,0.002765373546938536
2023,一般診療所密度,供給地人口10万人当たり主要オンライン算定回数,47,-0.17703515263644773,0.2338731492057864
2023,一般診療所密度,標準基本料1万回当たり主要オンライン算定回数,47,-0.2595975948196115,0.07804620108735066
2023,一般診療所密度,一般診療所当たり主要オンライン算定回数,47,-0.32493061979648474,0.025848434949301426
2023,一般診療所数,供給地人口10万人当たり主要オンライン算定回数,47,0.3038940766208747,0.037830353863052106
2023,一般診療所数,標準基本料1万回当たり主要オンライン算定回数,47,0.3031424360204045,0.03833122143625857
2023,一般診療所数,一般診療所当たり主要オンライン算定回数,47,0.30372062109768927,0.03794545866940164
2024,高齢化（65歳以上割合）,供給地人口10万人当たり主要オンライン算定回数,47,-0.5265957446808511,0.0001433687006823816
2024,高齢化（65歳以上割合）,標準基本料1万回当たり主要オンライン算定回数,47,-0.5306429232192414,0.0001245980823228513
2024,高齢化（65歳以上割合）,一般診療所当たり主要オンライン算定回数,47,-0.5180388529139686,0.00019177886891327364
2024,高齢化（75歳以上割合）,供給地人口10万人当たり主要オンライン算定回数,47,-0.5356151711378354,0.00010460996988108488
2024,高齢化（75歳以上割合）,標準基本料1万回当たり主要オンライン算定回数,47,-0.5364246068455134,0.00010164789785300475
2024,高齢化（75歳以上割合）,一般診療所当たり主要オンライン算定回数,47,-0.5313367252543941,0.00012161475805949467
2024,一般診療所密度,供給地人口10万人当たり主要オンライン算定回数,47,-0.13910730804810362,0.351059424212816
2024,一般診療所密度,標準基本料1万回当たり主要オンライン算定回数,47,-0.21461609620721558,0.147433731230938
2024,一般診療所密度,一般診療所当たり主要オンライン算定回数,47,-0.2977567067530065,0.04208159107463268
2024,一般診療所数,供給地人口10万人当たり主要オンライン算定回数,47,0.37790176651332513,0.008821237671779275
2024,一般診療所数,標準基本料1万回当たり主要オンライン算定回数,47,0.35847474791655687,0.01335179985385572
2024,一般診療所数,一般診療所当たり主要オンライン算定回数,47,0.3734497414182324,0.00972116926559409
