fiscal_year,top_n_sma,online_primary_count,share_of_all_sma_online_primary_pct
2022,1,133261.0,14.270614919030985
2022,5,386245.0,41.36209138008212
2022,10,517970.0,55.468219581201396
2022,20,651746.0,69.79398466932388
2022,confirmed_zero_primary_codes,35.0,
2022,masked_primary_components,135.0,
2023,1,284391.0,24.91425597842799
2023,5,615428.0,53.91496470806734
2023,10,746934.0,65.4356321929707
2023,20,859204.0,75.27111755888633
2023,confirmed_zero_primary_codes,21.0,
2023,masked_primary_components,159.0,
2024,1,628764.0,33.56587359546963
2024,5,1220061.0,65.13161266351489
2024,10,1358429.0,72.51823593974879
2024,20,1514277.0,80.83800976284738
2024,confirmed_zero_primary_codes,15.0,
2024,masked_primary_components,137.0,
