prefecture_code,prefecture_name,online_primary_count,standard_base_count,online_per_100k_provider_location,standard_base_per_100k_provider_location,online_per_10000_standard_base,online_per_clinic,population_known_thousand,population_65plus_thousand,population_75plus_thousand,share_65plus,share_75plus,clinic_count_2023,clinic_per_100k,online_per_100k_provider_location_rank,online_per_10000_standard_base_rank,online_per_clinic_rank
13,東京都,746963.6666666666,163759100.0,5331.646443016893,1168872.947894361,44.99032652103879,50.15198513942975,14010.0,3202.0,1701.0,0.22855103497501786,0.12141327623126338,14894.0,106.30977872947895,1.0,1.0,1.0
32,島根県,8856.666666666666,7625689.0,1331.829573934837,1146720.15037594,11.586025084067458,12.854378326076437,665.0,229.0,121.0,0.3443609022556391,0.18195488721804512,689.0,103.60902255639098,2.0,2.0,2.0
23,愛知県,66549.66666666667,89749462.0,885.3221586625872,1193953.19941466,7.339926703863955,11.712366537604131,7517.0,1918.0,992.0,0.25515498204070775,0.13196754024211788,5682.0,75.58866569110018,3.0,4.0,4.0
14,神奈川県,81194.33333333333,100405484.33333333,879.1071170781001,1087110.051248737,8.022504808267858,11.355850815850815,9236.0,2376.0,1248.0,0.2572542226071893,0.13512343005630142,7150.0,77.41446513642269,4.0,3.0,5.0
27,大阪府,72495.33333333333,110035833.0,823.2492997198879,1249555.223711106,6.6208446544198525,8.166647891554955,8806.0,2442.0,1296.0,0.2773109243697479,0.1471723824665001,8877.0,100.80626845332728,5.0,7.0,8.0
43,熊本県,14051.333333333334,21448309.333333332,812.6855600539811,1240503.720840563,6.567527006484298,9.558730158730159,1729.0,551.0,283.0,0.31868131868131866,0.16367842683632158,1470.0,85.02024291497976,6.0,8.0,7.0
11,埼玉県,53978.666666666664,74541440.33333333,735.4041780199818,1015550.9582198001,7.270400681303079,11.915820456217807,7340.0,2000.0,1013.0,0.2724795640326976,0.13801089918256132,4530.0,61.716621253406,7.0,5.0,3.0
12,千葉県,42448.333333333336,62730561.666666664,676.4674634794156,999690.2257636123,6.761495607358383,10.768222560460003,6275.0,1748.0,892.0,0.2785657370517928,0.14215139442231076,3942.0,62.820717131474105,8.0,6.0,6.0
18,福井県,4645.666666666667,8265101.333333333,610.4686815593517,1086084.2750766536,5.625924183099403,8.136018680677175,761.0,236.0,121.0,0.31011826544021026,0.1590013140604468,571.0,75.03285151116951,9.0,9.0,9.0
28,兵庫県,32549.333333333332,67047560.333333336,599.2145311732941,1234307.0753559156,4.849953807651354,6.264305876315114,5432.0,1608.0,835.0,0.2960235640648012,0.15371870397643594,5196.0,95.65537555228276,10.0,10.0,12.0
06,山形県,5082.0,12753369.666666666,481.7061611374408,1208850.205371248,3.968639306105009,5.76844494892168,1055.0,362.0,188.0,0.34312796208530805,0.17819905213270143,881.0,83.50710900473933,11.0,14.0,14.0
01,北海道,23573.333333333332,52633004.333333336,454.820245674963,1015493.0413531418,4.525189584910221,6.92722107943971,5183.0,1686.0,864.0,0.32529423114026623,0.16669882307543893,3403.0,65.65695543121744,12.0,11.0,10.0
09,栃木県,8627.0,21828855.0,448.8553590010406,1135736.4724245577,3.954999282626894,5.82118758434548,1922.0,569.0,273.0,0.29604578563995837,0.14203954214360043,1482.0,77.10718002081165,13.0,15.0,13.0
26,京都府,11375.666666666666,28408807.666666668,444.0150923757481,1108852.7582617747,4.020433004172758,4.572213290460879,2562.0,758.0,400.0,0.29586260733801717,0.156128024980484,2488.0,97.11163153786104,14.0,13.0,18.0
47,沖縄県,6203.666666666667,13652949.666666666,422.5930971843779,930037.4432334242,4.503625112956684,6.684985632183909,1468.0,339.0,156.0,0.23092643051771117,0.10626702997275204,928.0,63.21525885558583,15.0,12.0,11.0
07,福島県,7571.0,19496148.0,417.8256070640177,1075946.357615894,3.866825159803484,5.518221574344023,1812.0,585.0,289.0,0.3228476821192053,0.15949227373068434,1372.0,75.71743929359823,16.0,17.0,15.0
17,石川県,4593.666666666667,11813529.666666666,408.3259259259259,1050091.525925926,3.8766008765845137,5.226014410314751,1125.0,338.0,172.0,0.30044444444444446,0.15288888888888888,879.0,78.13333333333334,17.0,16.0,16.0
24,三重県,6616.666666666667,21179720.0,376.80334092634774,1206134.396355353,3.1318734531031023,4.417000445037828,1756.0,531.0,276.0,0.30239179954441914,0.1571753986332574,1498.0,85.30751708428247,18.0,18.0,19.0
40,福岡県,19013.666666666668,63461193.0,371.1432103585139,1238750.5953542846,2.966481859794607,3.956235261478707,5123.0,1445.0,721.0,0.28206129221159476,0.1407378489166504,4806.0,93.81221940269373,19.0,19.0,24.0
41,佐賀県,2922.3333333333335,10789512.0,362.12308963238337,1336990.3345724905,2.705582270515899,4.216931216931218,807.0,251.0,126.0,0.3110285006195787,0.15613382899628253,693.0,85.8736059479554,20.0,24.0,21.0
02,青森県,3976.3333333333335,14242732.0,325.39552645935623,1165526.350245499,2.771263726251135,4.678039215686274,1222.0,419.0,211.0,0.34288052373158756,0.17266775777414076,850.0,69.55810147299509,21.0,22.0,17.0
22,静岡県,11701.0,41588191.0,324.3970058220128,1152985.611311339,2.8243492252509004,4.295521292217328,3607.0,1099.0,568.0,0.30468533407263654,0.1574715830329914,2724.0,75.51982256723039,22.0,21.0,20.0
45,宮崎県,3187.0,13274591.0,300.66037735849056,1252319.9056603773,2.394377045293881,3.5176600441501105,1060.0,351.0,178.0,0.3311320754716981,0.16792452830188678,906.0,85.47169811320755,23.0,30.0,27.0
20,長野県,6068.0,21432326.666666668,298.4751598622725,1054221.6756845384,2.842730662930735,3.794871794871795,2033.0,657.0,355.0,0.32316773241515,0.17461878996556812,1599.0,78.65223807181505,24.0,20.0,25.0
03,岩手県,3523.6666666666665,12768500.333333334,294.3748259537733,1066708.4656084655,2.7426756260369167,4.008722032612817,1197.0,409.0,213.0,0.341687552213868,0.17794486215538846,879.0,73.43358395989975,25.0,23.0,23.0
34,広島県,8068.333333333333,34691868.0,290.33225380832437,1248357.970492983,2.3267481678212003,3.2004495570540796,2779.0,827.0,431.0,0.29758906081324216,0.15509175962576466,2521.0,90.71608492263404,26.0,31.0,31.0
10,群馬県,5575.666666666667,21397153.666666668,289.3444040823387,1110386.8015914203,2.6071379721596117,3.5672851354233313,1927.0,589.0,299.0,0.30565646081992737,0.1551634665282823,1563.0,81.11053450960041,27.0,25.0,26.0
19,山梨県,2319.6666666666665,9036411.333333334,287.7998345740281,1121142.8453267163,2.5636068423041043,3.195133149678604,806.0,252.0,130.0,0.31265508684863524,0.16129032258064516,726.0,90.07444168734492,28.0,28.0,32.0
21,岐阜県,5377.0,23556154.333333332,274.05708460754335,1200619.4869181106,2.2781386340493066,3.364831038798498,1962.0,605.0,312.0,0.30835881753312944,0.15902140672782875,1598.0,81.44750254841998,29.0,32.0,30.0
15,新潟県,5790.333333333333,22549527.333333332,265.85552494643406,1035331.833486379,2.5839958294978427,3.4986908358509567,2178.0,723.0,371.0,0.3319559228650138,0.17033976124885217,1655.0,75.98714416896235,30.0,26.0,29.0
44,大分県,2928.3333333333335,13296413.333333334,262.6307922272048,1192503.437967115,2.191436281765092,3.0922210489264343,1115.0,376.0,195.0,0.33721973094170404,0.17488789237668162,947.0,84.93273542600897,31.0,33.0,33.0
08,茨城県,7397.666666666667,28625974.0,259.385226741468,1003715.778401122,2.5651670168925946,4.203219696969697,2852.0,860.0,424.0,0.3015427769985975,0.14866760168302945,1760.0,61.711079943899016,32.0,27.0,22.0
46,鹿児島県,4079.3333333333335,19566425.0,258.8409475465313,1241524.4289340102,2.0902489407932783,2.979790601412223,1576.0,521.0,265.0,0.33058375634517767,0.1681472081218274,1369.0,86.86548223350253,33.0,34.0,34.0
16,富山県,2617.0,10531717.666666666,255.0682261208577,1026483.2033788174,2.4799973064543432,3.51747311827957,1026.0,337.0,176.0,0.3284600389863548,0.17153996101364521,744.0,72.51461988304094,34.0,29.0,28.0
29,奈良県,2981.6666666666665,15314328.333333334,226.57041540020262,1163702.7608915905,1.9292643166672994,2.4580928826600714,1316.0,423.0,219.0,0.32142857142857145,0.16641337386018237,1213.0,92.17325227963526,35.0,36.0,40.0
38,愛媛県,2939.3333333333335,16319110.333333334,222.5082008579359,1235360.3583144082,1.8103118224297257,2.5015602836879434,1321.0,444.0,230.0,0.336109008327025,0.17411052233156699,1175.0,88.94776684330053,36.0,41.0,37.0
05,秋田県,2010.6666666666667,10607101.666666666,212.7689594356261,1122444.6208112875,1.8918800611422029,2.4946236559139785,945.0,360.0,188.0,0.38095238095238093,0.19894179894179895,806.0,85.29100529100529,37.0,37.0,39.0
36,徳島県,1487.3333333333333,8773867.666666666,208.89513108614233,1232284.7846441949,1.6842189310625602,2.1618217054263567,712.0,247.0,125.0,0.34691011235955055,0.175561797752809,688.0,96.62921348314607,38.0,42.0,42.0
39,高知県,1423.0,7631673.666666667,208.04093567251462,1115741.7641325537,1.861906479753202,2.768482490272374,684.0,245.0,131.0,0.358187134502924,0.1915204678362573,514.0,75.14619883040936,39.0,39.0,35.0
31,鳥取県,1130.6666666666667,6115460.333333333,205.95021250758955,1113927.2009714632,1.8519672824862952,2.3853727144866386,549.0,180.0,92.0,0.32786885245901637,0.16757741347905283,474.0,86.33879781420765,40.0,40.0,41.0
04,宮城県,4681.666666666667,24786769.666666668,204.43959243085882,1082391.6885007278,1.8744410081276763,2.715583913379737,2290.0,655.0,322.0,0.28602620087336245,0.1406113537117904,1724.0,75.28384279475982,41.0,38.0,36.0
25,滋賀県,2855.6666666666665,14445194.333333334,202.52955082742315,1024481.8676122931,1.9714567489932715,2.498396033829105,1410.0,376.0,187.0,0.26666666666666666,0.1326241134751773,1143.0,81.06382978723404,42.0,35.0,38.0
33,岡山県,3034.6666666666665,21388472.333333332,161.76261549395878,1140110.4655294956,1.4208348686112153,1.9578494623655913,1876.0,575.0,305.0,0.30650319829424305,0.16257995735607675,1550.0,82.62260127931769,43.0,43.0,43.0
42,長崎県,2029.6666666666667,16449619.666666666,156.61008230452674,1269260.7767489713,1.2293177226398861,1.5411288281447735,1296.0,435.0,219.0,0.33564814814814814,0.16898148148148148,1317.0,101.62037037037037,44.0,44.0,44.0
30,和歌山県,1264.6666666666667,11941011.666666666,138.36615609044495,1306456.4186725018,1.0612597419565575,1.2546296296296295,914.0,308.0,163.0,0.33698030634573306,0.17833698030634573,1008.0,110.28446389496717,45.0,45.0,46.0
35,山口県,1585.6666666666667,16852694.666666668,119.40261044176707,1269028.2128514056,0.9430149421033475,1.328029034059185,1328.0,465.0,245.0,0.3501506024096386,0.1844879518072289,1194.0,89.90963855421687,46.0,46.0,45.0
