area_type,prefecture_code,sma_code,prefecture_name,area_name,column,fiscal_year,online_primary_count,online_primary_missing_components,standard_base_count,standard_base_missing_components,population_known_thousand,population_65plus_thousand,population_75plus_thousand,share_65plus,share_75plus,clinic_count_2023,remote_home_support_facilities_2023,online_per_100k_provider_location,standard_base_per_100k_provider_location,online_per_10000_standard_base,clinic_per_100k,online_per_clinic,online_components_complete,standard_base_components_complete
prefecture,01,,北海道,北海道,6,2022,30462.0,0,49625935.0,0,5183.0,1686.0,864.0,0.32529423114026623,0.16669882307543893,3403.0,29.0,587.7291144125024,957475.1109396103,6.1383226331151235,65.65695543121744,8.951513370555393,True,True
prefecture,02,,青森県,青森県,7,2022,2421.0,0,13691679.0,0,1222.0,419.0,211.0,0.34288052373158756,0.17266775777414076,850.0,3.0,198.11783960720132,1120431.9967266775,1.768227256861631,69.55810147299509,2.848235294117647,True,True
prefecture,03,,岩手県,岩手県,8,2022,1161.0,0,12513229.0,0,1197.0,409.0,213.0,0.341687552213868,0.17794486215538846,879.0,9.0,96.99248120300751,1045382.5396825396,0.9278180715784871,73.43358395989975,1.3208191126279865,True,True
prefecture,04,,宮城県,宮城県,9,2022,2477.0,0,23957241.0,0,2290.0,655.0,322.0,0.28602620087336245,0.1406113537117904,1724.0,11.0,108.16593886462883,1046167.729257642,1.0339254006753114,75.28384279475982,1.4367749419953597,True,True
prefecture,05,,秋田県,秋田県,10,2022,1518.0,0,10430759.0,0,945.0,360.0,188.0,0.38095238095238093,0.19894179894179895,806.0,7.0,160.63492063492063,1103784.0211640212,1.4553111619202401,85.29100529100529,1.8833746898263026,True,True
prefecture,06,,山形県,山形県,11,2022,2537.0,0,12527283.0,0,1055.0,362.0,188.0,0.34312796208530805,0.17819905213270143,881.0,1.0,240.4739336492891,1187420.1895734598,2.025179761645043,83.50710900473933,2.8796821793416574,True,True
prefecture,07,,福島県,福島県,12,2022,3686.0,0,19140357.0,0,1812.0,585.0,289.0,0.3228476821192053,0.15949227373068434,1372.0,9.0,203.42163355408388,1056311.0927152317,1.9257739027542695,75.71743929359823,2.686588921282799,True,True
prefecture,08,,茨城県,茨城県,13,2022,3759.0,0,27746500.0,0,2852.0,860.0,424.0,0.3015427769985975,0.14866760168302945,1760.0,11.0,131.80224403927068,972878.6816269285,1.35476546591462,61.711079943899016,2.1357954545454545,True,True
prefecture,09,,栃木県,栃木県,14,2022,8932.0,0,21229148.0,0,1922.0,569.0,273.0,0.29604578563995837,0.14203954214360043,1482.0,5.0,464.7242455775234,1104534.2351716962,4.2074227378319655,77.10718002081165,6.026990553306343,True,True
prefecture,10,,群馬県,群馬県,15,2022,5683.0,0,20876840.0,0,1927.0,589.0,299.0,0.30565646081992737,0.1551634665282823,1563.0,9.0,294.91437467566163,1083385.5734302024,2.722155268709249,81.11053450960041,3.635956493921945,True,True
prefecture,11,,埼玉県,埼玉県,16,2022,61830.0,0,71190462.0,0,7340.0,2000.0,1013.0,0.2724795640326976,0.13801089918256132,4530.0,37.0,842.3705722070845,969897.302452316,8.685152232893222,61.716621253406,13.649006622516556,True,True
prefecture,12,,千葉県,千葉県,17,2022,40366.0,0,59936851.0,0,6275.0,1748.0,892.0,0.2785657370517928,0.14215139442231076,3942.0,50.0,643.2828685258964,955168.9402390438,6.734754883936095,62.820717131474105,10.23997970573313,True,True
prefecture,13,,東京都,東京都,18,2022,425897.0,0,153463340.0,0,14010.0,3202.0,1701.0,0.22855103497501786,0.12141327623126338,14894.0,212.0,3039.950035688794,1095384.2969307636,27.752360922159,106.30977872947895,28.595206123271115,True,True
prefecture,14,,神奈川県,神奈川県,19,2022,57064.0,0,94970005.0,0,9236.0,2376.0,1248.0,0.2572542226071893,0.13512343005630142,7150.0,76.0,617.8432221741014,1028259.0407102642,6.0086339892263885,77.41446513642269,7.980979020979021,True,True
prefecture,15,,新潟県,新潟県,20,2022,8617.0,0,22003504.0,0,2178.0,723.0,371.0,0.3319559228650138,0.17033976124885217,1655.0,12.0,395.6382001836547,1010261.8916437099,3.916194438849376,75.98714416896235,5.2066465256797585,True,True
prefecture,16,,富山県,富山県,21,2022,1891.0,0,10377324.0,0,1026.0,337.0,176.0,0.3284600389863548,0.17153996101364521,744.0,5.0,184.30799220272905,1011435.0877192982,1.8222424201075342,72.51461988304094,2.5416666666666665,True,True
prefecture,17,,石川県,石川県,22,2022,3243.0,0,11551673.0,0,1125.0,338.0,172.0,0.30044444444444446,0.15288888888888888,879.0,5.0,288.26666666666665,1026815.3777777777,2.807385562247131,78.13333333333334,3.689419795221843,True,True
prefecture,18,,福井県,福井県,23,2022,5061.0,0,8130416.0,0,761.0,236.0,121.0,0.31011826544021026,0.1590013140604468,571.0,5.0,665.0459921156373,1068385.8081471748,6.224773738514733,75.03285151116951,8.863397548161121,True,True
