prefecture_code,sma_code,area_name,online_primary_count,standard_base_count,online_per_10000_standard_base,online_primary_missing_components
13,1301,区中央部,348805.3333333333,21184648.666666668,164.65004391702126,0
13,1304,区西部,212617.0,15878433.0,133.90301171406523,0
13,1303,区西南部,61425.0,18092035.0,33.95140458218216,1
23,2313,名古屋・尾張中部,57889.333333333336,32276020.666666668,17.935709587991134,1
14,1412,横浜,41313.0,42845515.333333336,9.64231604605277,0
27,2708,大阪市,40834.0,40626310.0,10.051122043818403,0
13,1305,区西北部,36165.0,21135081.666666668,17.111360424520083,0
13,1306,区東北部,33676.0,14795785.333333334,22.760535680476213,0
01,0104,札幌,17164.0,24931775.666666668,6.884387309383646,1
12,1201,千葉,16620.333333333332,10632523.0,15.631598759140546,1
11,1104,さいたま,15058.333333333334,15186332.666666666,9.91571412523164,0
11,1101,南部,14939.0,7547595.666666667,19.793058160199095,0
14,1410,相模原,14140.333333333334,7492329.0,18.87308116519354,0
12,1202,東葛南部,13418.0,17058724.666666668,7.8657697232309705,0
28,2811,阪神,13313.0,21779991.666666668,6.112490860304124,1
13,1302,区南部,13303.333333333334,12910947.0,10.303917546352977,0
13,1307,区東部,12904.333333333334,15712930.666666666,8.212556656097595,1
28,2801,神戸,12795.333333333334,19398559.333333332,6.596022474383751,0
40,4001,福岡・糸島,12319.666666666666,21167999.666666668,5.819948441357212,1
43,4312,熊本・上益城,11612.333333333334,11060705.0,10.498728004528946,1
11,1103,東部,11326.333333333334,11553725.333333334,9.803187289432996,0
13,1309,南多摩,10459.333333333334,14381024.333333334,7.273009968483237,0
27,2703,北河内,9253.333333333334,12991183.0,7.12277960624012,1
26,2604,京都・乙訓,8197.333333333334,19279684.333333332,4.251798520975093,1
12,1203,東葛北部,7214.0,13269144.0,5.436673232274817,0
32,3203,出雲,7188.333333333333,2242720.0,32.05185370145775,1
13,1311,北多摩南部,6934.666666666667,11643726.666666666,5.9557106287276875,1
13,1312,北多摩北部,5842.333333333333,7021787.666666667,8.320293364989721,0
14,1407,湘南東部,5638.0,7982466.333333333,7.062979992106868,1
09,0903,宇都宮,5587.0,6547339.333333333,8.533237267168781,0
27,2706,堺市,5456.333333333333,9524554.0,5.728702187350014,0
34,3401,広島,4960.333333333333,17358971.333333332,2.8575041908205234,0
27,2701,豊能,4611.333333333333,12363831.0,3.7296961866700804,0
27,2702,三島,4594.333333333333,8764213.666666666,5.24215121638028,1
