year,prefecture_code,prefecture_name,sma_code,sma_name,reporting_facilities,facilities_with_observed_online_use,facilities_with_suppressed_online_component,observed_online_patient_days,top1_share_observed_pct,top2_share_observed_pct,top5_share_observed_pct,hhi_observed
2024,31,鳥取県,3101,東部,20.0,2.0,0.0,230.0,75.21739130434783,100.0,100.0,6271.833648393194
2024,31,鳥取県,3102,中部,15.0,3.0,0.0,73.0,49.31506849315068,84.93150684931507,100.0,3927.5661474948392
2024,31,鳥取県,3103,西部,33.0,5.0,0.0,32.0,40.625,68.75,100.0,2968.75
2024,32,島根県,3204,大田,7.0,3.0,0.0,252.0,69.84126984126983,95.63492063492063,99.99999999999999,5562.1693121693115
2024,32,島根県,3203,出雲,18.0,3.0,0.0,246.0,94.71544715447155,98.3739837398374,100.0,8987.044748496266
2024,32,島根県,3201,松江,22.0,2.0,0.0,23.0,91.30434782608695,100.0,100.0,8412.098298676747
2024,34,広島県,3406,福山・府中,63.0,5.0,0.0,3201.0,92.50234301780694,97.03217744454858,100.0,8583.617799069156
2024,34,広島県,3401,広島,142.0,15.0,0.0,1347.0,36.97104677060133,47.14179658500371,76.02078693392724,1863.2127596368848
2024,34,広島県,3405,尾三,30.0,1.0,0.0,188.0,100.0,100.0,100.0,10000.0
2024,34,広島県,3404,広島中央,24.0,3.0,0.0,131.0,57.25190839694656,92.36641221374045,99.99999999999999,4569.081055882524
2024,34,広島県,3403,呉,35.0,2.0,0.0,56.0,73.21428571428571,100.0,100.0,6077.806122448978
2024,34,広島県,3402,広島西,15.0,1.0,0.0,7.0,100.0,100.0,100.0,10000.0
