year,prefecture_code,prefecture_name,reporting_facilities,facilities_with_observed_online_use,facilities_with_suppressed_online_component,observed_online_patient_days,top1_share_observed_pct,top2_share_observed_pct,top5_share_observed_pct,hhi_observed,population,observed_online_patient_days_per_10k
2022,12,千葉県,378.0,14.0,16.0,101033.0,88.1603040590698,97.06828461987666,99.59023289420288,7854.548310690895,6251096,161.62445753512662
2022,13,東京都,810.0,38.0,31.0,68718.0,35.51907797083734,52.399662388311654,79.13647079367851,1905.0763350905083,13972972,49.17922973008176
2022,42,長崎県,300.0,10.0,6.0,64886.0,57.003051505717714,98.1922140369263,99.83663656258668,4947.021122259261,1305346,497.0789353933746
2022,22,静岡県,284.0,9.0,8.0,48390.0,85.64786112833231,92.66790659227114,99.11138665013432,7405.376999691791,3613902,133.89959107911616
2022,11,埼玉県,444.0,22.0,14.0,32132.0,76.32578115274494,87.64782771069339,97.02788497448029,6002.299269248944,7305749,43.981801181507876
2022,46,鹿児島県,455.0,14.0,12.0,25870.0,83.13877077696174,89.33900270583688,97.91650560494782,6989.265975442315,1579819,163.7529362540899
2022,27,大阪府,598.0,16.0,17.0,18025.0,43.59500693481276,71.82801664355063,96.00554785020805,3092.7866328358095,8790738,20.504535569141066
2022,20,長野県,160.0,10.0,7.0,14215.0,62.92648610622582,90.6085121350686,98.05135420330637,4748.330355555462,2037132,69.77947428050808
2022,33,岡山県,256.0,4.0,5.0,11318.0,94.65453260293339,98.48913235553985,100.0,8975.678329827295,1878400,60.253407155025556
2022,01,北海道,699.0,25.0,21.0,10727.0,30.949939405239117,41.96886361517666,64.16519064044,1378.4727360162915,5196860,20.64131032969909
2022,28,兵庫県,432.0,15.0,12.0,9687.0,73.03602766594405,79.4466811190255,90.38918137710333,5433.683992030986,5435971,17.820183367424146
2022,26,京都府,197.0,10.0,1.0,8469.0,50.147597118904244,88.42838587790767,97.02444208289054,4016.160094671849,2564392,33.0253720959978
2022,44,大分県,327.0,8.0,9.0,7771.0,57.99768369579205,82.3960880195599,99.26650366748166,4207.20432242985,1117882,69.51538713388354
2022,16,富山県,118.0,7.0,6.0,6846.0,45.82237803096699,88.47502191060474,99.5179666958808,3998.9761822402443,1029317,66.51012273186977
2022,29,奈良県,96.0,2.0,1.0,6707.0,96.46637841061577,100.0,100.0,9318.248645197078,1317437,50.909455252888755
2022,43,熊本県,402.0,10.0,11.0,6617.0,66.07223817439927,91.47649992443706,97.21928366329152,5025.359663968379,1729067,38.26919373280503
2022,23,愛知県,531.0,21.0,13.0,5202.0,30.853517877739336,48.03921568627451,73.20261437908496,1572.124021148817,7502349,6.93382832496862
2022,40,福岡県,772.0,15.0,21.0,4366.0,50.32065964269354,71.59871736142924,90.10535959688502,3135.9468041999476,5107935,8.547485431979851
2022,38,愛媛県,233.0,10.0,10.0,3504.0,27.34018264840183,50.0,83.78995433789956,1777.430490398449,1327750,26.390510261720955
2022,14,神奈川県,435.0,21.0,13.0,3106.0,28.396651641983254,48.3258209916291,79.16934964584674,1591.7574733322579,9188267,3.380398066360066
2022,47,沖縄県,123.0,4.0,4.0,3055.0,44.05891980360065,86.18657937806874,100.0,3818.5422196983295,1459685,20.92917307501276
2022,02,青森県,172.0,12.0,3.0,2846.0,42.02389318341532,64.65214335910049,91.32115249472945,2543.0274345421494,1231408,23.111754999155437
2022,34,広島県,346.0,20.0,12.0,2719.0,37.51379183523354,55.388010297903634,77.05038617138653,1949.7803383515752,2784830,9.763612141495171
2022,18,福井県,103.0,8.0,5.0,2714.0,53.68459837877671,70.44952100221076,90.30950626381724,3343.8667049698365,762789,35.579957235880435
2022,07,福島県,155.0,4.0,6.0,2098.0,97.56911344137274,98.52240228789323,99.99999999999999,9521.733440809305,1823414,11.505889501780727
2022,36,徳島県,161.0,8.0,6.0,1748.0,74.94279176201373,82.55148741418765,96.73913043478261,5762.100131434945,715737,24.42237861113789
2022,35,山口県,193.0,7.0,5.0,1551.0,58.99419729206963,87.1050934880722,98.25918762088973,4314.360527784947,1334930,11.618586742376005
2022,37,香川県,148.0,4.0,1.0,1479.0,54.76673427991886,98.0392156862745,100.0,4873.845740296538,945196,15.647548233382283
2022,08,茨城県,241.0,8.0,2.0,1474.0,47.4898236092266,72.25237449118046,89.68792401628222,3012.819214645903,2851779,5.168703465450864
2022,21,岐阜県,188.0,10.0,8.0,1332.0,45.04504504504504,78.30330330330331,94.81981981981983,3297.1484998512024,1968231,6.7674983271780595
2022,05,秋田県,90.0,4.0,0.0,1193.0,50.04191114836547,86.756077116513,100.0,3992.1124132179257,954405,12.499934514173752
2022,39,高知県,158.0,4.0,2.0,1032.0,62.4031007751938,81.1046511627907,99.99999999999999,4488.8941469863585,687854,15.003183815170079
2022,45,宮崎県,231.0,3.0,5.0,917.0,91.93020719738277,96.83751363140676,100.0,8485.245971822678,1063894,8.619279740274877
2022,41,佐賀県,207.0,3.0,4.0,902.0,88.13747228381375,98.33702882483371,100.0,7875.010447342933,807132,11.175371562520134
2022,32,島根県,69.0,2.0,3.0,829.0,95.77804583835947,100.0,100.0,9191.258961557882,667561,12.418340795822404
2022,09,栃木県,174.0,5.0,6.0,828.0,59.42028985507246,81.76328502415458,100.0,4209.520642255362,1922877,4.306047656714392
2022,24,三重県,140.0,3.0,4.0,815.0,50.1840490797546,84.66257668711657,100.0,3942.44420188942,1760850,4.628446488911605
2022,10,群馬県,176.0,3.0,3.0,472.0,93.4322033898305,97.88135593220339,100.0,8753.860241309967,1928809,2.4471059602065317
2022,19,山梨県,82.0,1.0,1.0,400.0,100.0,100.0,100.0,10000.0,805671,4.964805733357661
2022,17,石川県,128.0,4.0,1.0,328.0,41.15853658536585,79.8780487804878,100.0,3477.6546698393813,1126510,2.911647477607833
2022,31,鳥取県,69.0,3.0,3.0,288.0,61.80555555555556,85.7638888888889,100.0,4596.595293209876,550467,5.231921259585043
2022,06,山形県,94.0,4.0,2.0,169.0,77.51479289940828,85.79881656804733,99.99999999999999,6180.805994187878,1062354,1.5908068308680532
2022,03,岩手県,149.0,2.0,2.0,109.0,59.63302752293578,100.0,100.0,5185.590438515276,1204104,0.9052374213523084
2022,30,和歌山県,122.0,2.0,4.0,84.0,78.57142857142857,100.0,100.0,6632.65306122449,917683,0.9153487642246833
2022,04,宮城県,197.0,2.0,3.0,49.0,59.183673469387756,100.0,100.0,5168.6797167846735,2289768,0.21399547901796165
2022,15,新潟県,131.0,3.0,1.0,42.0,45.23809523809524,73.80952380952381,100.0,3548.7528344671205,2189579,0.1918176964612832
2022,25,滋賀県,79.0,0.0,1.0,0.0,,,,,1406101,0.0
2023,27,大阪府,588.0,34.0,21.0,28016.0,80.68246716162193,87.04668760708167,92.70059965733866,6565.1717161458855,8711992,32.15797259685271
2023,11,埼玉県,429.0,29.0,20.0,20320.0,46.210629921259844,74.8228346456693,92.01279527559056,3134.075849401699,7240305,28.065116041382236
2023,23,愛知県,519.0,35.0,20.0,20006.0,45.986204138758374,84.83454963510947,90.48785364390683,3640.634341737867,7435144,26.907347053399366
2023,13,東京都,836.0,50.0,46.0,19561.0,42.11441132866418,62.092940033740604,72.95639282245284,2249.0328787119074,13847804,14.125705418707543
2023,01,北海道,691.0,44.0,27.0,15281.0,53.6548655192723,64.32825076892874,75.53170604018062,3070.4942839431346,5150308,29.67007021715983
2023,22,静岡県,279.0,14.0,11.0,12877.0,77.34720820066786,86.18467034247108,95.41818746602469,6108.895239646804,3581529,35.953918005410536
2023,09,栃木県,169.0,8.0,5.0,11582.0,95.05266793299948,97.6083577965809,99.55102745639786,9043.498773738931,1905652,60.77709886170192
2023,28,兵庫県,405.0,28.0,18.0,8395.0,70.50625372245383,75.44967242406194,84.27635497319834,5037.976957412111,5387277,15.583011603078882
