year,prefecture_code,prefecture_name,sma_code,sma_name,reporting_facilities,facilities_with_observed_online_use,facilities_with_suppressed_online_component,observed_online_patient_days,top1_share_observed_pct,top2_share_observed_pct,top5_share_observed_pct,hhi_observed
2022,12,千葉県,1206,山武長生夷隅,30.0,1.0,0.0,89071.0,100.0,100.0,100.0,10000.0
2022,22,静岡県,2208,西部,60.0,2.0,2.0,41473.0,99.93248619583825,100.0,100.0,9986.506355395155
2022,42,長崎県,4202,佐世保県北,76.0,3.0,0.0,37014.0,99.9270546279786,99.97298319554764,100.0,9985.419085964064
2022,13,東京都,1301,区中央部,70.0,6.0,4.0,30252.0,80.68226894089648,90.19238397461325,99.6000264445326,6644.161977814671
2022,42,長崎県,4201,長崎,101.0,5.0,3.0,27715.0,96.43153526970954,98.48457513981599,100.0,9304.942992559541
2022,11,埼玉県,1109,北部,44.0,3.0,2.0,24760.0,99.05088852988692,99.9151857835218,100.0,9811.83272175404
2022,46,鹿児島県,4601,鹿児島,193.0,6.0,6.0,23340.0,92.15081405312769,99.02313624678663,99.95715509854328,8539.438236155813
2022,13,東京都,1305,区西北部,116.0,8.0,2.0,17181.0,63.87288283569059,86.87503637739363,98.37611314824515,4654.085113254792
2022,13,東京都,1304,区西部,63.0,5.0,1.0,11937.0,97.17684510345983,98.87743989277038,100.0,9446.964902281617
2022,33,岡山県,3301,県南東部,128.0,3.0,4.0,10884.0,98.42888643880926,99.65086365306873,100.0,9689.860810084927
2022,12,千葉県,1201,千葉,64.0,3.0,3.0,10596.0,84.93771234428085,99.8961872404681,99.99999999999999,7438.181726588705
2022,20,長野県,2001,佐久,18.0,2.0,2.0,9082.0,98.49152169125743,100.0,100.0,9702.855351867382
2022,01,北海道,0104,札幌,307.0,17.0,12.0,8967.0,37.02464592394335,50.20631203300992,76.75922828147652,1874.7082113618117
2022,27,大阪府,2703,北河内,76.0,2.0,4.0,8169.0,96.19292447055943,100.0,100.0,9267.572542285616
2022,26,京都府,2604,京都・乙訓,125.0,6.0,1.0,8101.0,52.42562646586841,92.44537711393656,99.46920133316875,4382.271495496136
