id,prefecture_name,rate_2022,rate_2024,delta
4,宮城県,0.1,3.0,2.9
28,兵庫県,1.3,3.8,2.5
1,北海道,1.4,3.4,2.0
25,滋賀県,0.9,2.9,2.0
30,和歌山県,1.3,3.3,1.9999999999999998
14,神奈川県,2.0,3.9,1.9
31,鳥取県,0.4,2.1,1.7000000000000002
47,沖縄県,1.9,3.6,1.7000000000000002
20,長野県,0.4,2.0,1.6
10,群馬県,0.8,2.2,1.4000000000000001
2,青森県,1.1,2.4,1.2999999999999998
37,香川県,0.3,1.5,1.2
38,愛媛県,0.6,1.6,1.0
18,福井県,0.8,1.8,1.0
33,岡山県,1.2,2.1,0.9000000000000001
44,大分県,0.6,1.5,0.9
24,三重県,1.4,2.3,0.8999999999999999
26,京都府,1.9,2.8,0.8999999999999999
23,愛知県,1.9,2.8,0.8999999999999999
22,静岡県,1.5,2.2,0.7000000000000002
40,福岡県,1.3,2.0,0.7
32,島根県,1.3,2.0,0.7
5,秋田県,0.3,1.0,0.7
6,山形県,0.3,0.9,0.6000000000000001
16,富山県,0.8,1.4,0.5999999999999999
34,広島県,1.9,2.4,0.5
45,宮崎県,2.1,2.6,0.5
3,岩手県,0.8,1.3,0.5
9,栃木県,0.9,1.3,0.4
43,熊本県,1.3,1.7,0.3999999999999999
13,東京都,3.9,4.3,0.3999999999999999
39,高知県,0.7,1.0,0.30000000000000004
36,徳島県,0.8,1.1,0.30000000000000004
17,石川県,0.9,1.2,0.29999999999999993
35,山口県,0.9,1.1,0.20000000000000007
41,佐賀県,0.9,1.1,0.20000000000000007
11,埼玉県,2.1,2.3,0.19999999999999973
42,長崎県,1.1,1.1,0.0
27,大阪府,1.8,1.7,-0.10000000000000009
46,鹿児島県,1.1,0.9,-0.20000000000000007
12,千葉県,2.6,2.4,-0.20000000000000018
21,岐阜県,1.9,1.6,-0.2999999999999998
8,茨城県,2.0,1.6,-0.3999999999999999
15,新潟県,1.1,0.7,-0.40000000000000013
19,山梨県,1.7,1.1,-0.5999999999999999
7,福島県,1.4,0.8,-0.5999999999999999
29,奈良県,2.3,0.9,-1.4
