prefecture_code,prefecture_name,rate_2022_pct,rate_2023_pct,rate_2024_pct,change_2022_2024_pct_points,event_proxy_2022,event_proxy_2024,both_endpoints_event_proxy_ge10,increase_at_least_1_5_points,increase_rank_desc
04,宮城県,0.1,1.4,3.0,2.9,0.67,19.92,False,True,1
28,兵庫県,1.3,1.8,3.8,2.5,6.24,23.484,False,True,2
01,北海道,1.4,2.8,3.4,2.0,9.072,15.912,False,True,3
25,滋賀県,0.9,1.4,2.9,2.0,6.21,22.156,False,True,3
30,和歌山県,1.3,0.4,3.3,1.9999999999999998,7.956,16.698,False,True,5
14,神奈川県,2.0,3.0,3.9,1.9,13.06,26.13,True,True,6
31,鳥取県,0.4,2.0,2.1,1.7000000000000002,2.54,12.474,False,True,7
47,沖縄県,1.9,3.7,3.6,1.7000000000000002,7.428999999999999,12.06,False,True,7
20,長野県,0.4,1.9,2.0,1.6,3.1040000000000005,13.66,False,True,9
10,群馬県,0.8,1.6,2.2,1.4000000000000001,6.944000000000001,13.684000000000001,False,False,10
02,青森県,1.1,0.5,2.4,1.2999999999999998,6.501,15.216,False,False,11
37,香川県,0.3,1.4,1.5,1.2,2.118,9.39,False,False,12
38,愛媛県,0.6,1.1,1.6,1.0,3.78,8.512,False,False,13
18,福井県,0.8,1.4,1.8,1.0,5.432,13.392000000000001,False,False,13
33,岡山県,1.2,1.6,2.1,0.9000000000000001,7.74,13.566,False,False,15
44,大分県,0.6,0.6,1.5,0.9,3.282,8.07,False,False,16
24,三重県,1.4,2.2,2.3,0.8999999999999999,9.309999999999999,15.409999999999998,False,False,17
26,京都府,1.9,1.4,2.8,0.8999999999999999,12.463999999999999,17.92,True,False,17
23,愛知県,1.9,3.2,2.8,0.8999999999999999,13.698999999999998,21.195999999999998,True,False,17
22,静岡県,1.5,2.4,2.2,0.7000000000000002,12.465,17.05,True,False,20
40,福岡県,1.3,0.9,2.0,0.7,5.746,12.16,False,False,21
32,島根県,1.3,0.6,2.0,0.7,9.1,13.56,False,False,21
05,秋田県,0.3,1.6,1.0,0.7,2.136,5.79,False,False,21
06,山形県,0.3,2.3,0.9,0.6000000000000001,2.391,8.046,False,False,24
16,富山県,0.8,0.7,1.4,0.5999999999999999,7.672000000000001,15.413999999999998,False,False,25
34,広島県,1.9,2.3,2.4,0.5,14.231,16.08,True,False,26
45,宮崎県,2.1,0.2,2.6,0.5,12.39,12.506000000000002,True,False,26
03,岩手県,0.8,0.6,1.3,0.5,4.808,6.734,False,False,26
09,栃木県,0.9,1.7,1.3,0.4,7.02,9.919,False,False,29
43,熊本県,1.3,0.8,1.7,0.3999999999999999,7.9430000000000005,9.979,False,False,30
13,東京都,3.9,5.3,4.3,0.3999999999999999,29.445,32.766,True,False,30
39,高知県,0.7,1.6,1.0,0.30000000000000004,3.682,5.14,False,False,32
36,徳島県,0.8,2.4,1.1,0.30000000000000004,5.072,6.226,False,False,32
17,石川県,0.9,1.4,1.2,0.29999999999999993,7.551,9.48,False,False,34
35,山口県,0.9,1.4,1.1,0.20000000000000007,6.255,6.809000000000001,False,False,35
41,佐賀県,0.9,1.9,1.1,0.20000000000000007,6.138000000000001,8.019,False,False,35
11,埼玉県,2.1,3.1,2.3,0.19999999999999973,15.582,17.180999999999997,True,False,37
42,長崎県,1.1,1.0,1.1,0.0,7.755000000000001,7.425000000000001,False,False,38
27,大阪府,1.8,2.9,1.7,-0.10000000000000009,11.286000000000001,8.347,False,False,39
46,鹿児島県,1.1,0.4,0.9,-0.20000000000000007,5.071000000000001,3.6090000000000004,False,False,40
12,千葉県,2.6,2.6,2.4,-0.20000000000000018,18.72,14.616,True,False,41
21,岐阜県,1.9,1.3,1.6,-0.2999999999999998,15.58,12.448000000000002,True,False,42
08,茨城県,2.0,2.8,1.6,-0.3999999999999999,11.52,9.888,False,False,43
15,新潟県,1.1,0.7,0.7,-0.40000000000000013,8.855,4.997999999999999,False,False,44
19,山梨県,1.7,1.2,1.1,-0.5999999999999999,14.552,7.205000000000001,False,False,45
07,福島県,1.4,2.7,0.8,-0.5999999999999999,8.05,4.6,False,False,45
29,奈良県,2.3,1.6,0.9,-1.4,18.192999999999998,6.102,False,False,47
