patient_rank,provider_rank,prefecture_code,prefecture_name,patient_online_rate_pct,provider_rate_per_100k
1,1,13,東京都,4.3,8507.3
2,4,14,神奈川県,3.9,1257.4
3,9,28,兵庫県,3.8,739.3
4,14,47,沖縄県,3.6,528.5
5,19,01,北海道,3.4,448.8
6,46,30,和歌山県,3.3,113.8
7,29,04,宮城県,3.0,315.1
8,34,25,滋賀県,2.9,254.0
9,3,23,愛知県,2.8,1459.7
9,16,26,京都府,2.8,491.2
11,25,45,宮崎県,2.6,360.9
12,6,12,千葉県,2.4,852.9
12,26,02,青森県,2.4,360.2
12,28,34,広島県,2.4,322.5
15,7,11,埼玉県,2.3,763.4
15,24,24,三重県,2.3,362.7
17,31,10,群馬県,2.2,305.3
17,32,22,静岡県,2.2,301.8
19,43,33,岡山県,2.1,178.7
19,44,31,鳥取県,2.1,121.2
21,2,32,島根県,2.0,1484.5
21,13,40,福岡県,2.0,550.5
21,38,20,長野県,2.0,227.5
24,11,18,福井県,1.8,599.6
25,5,27,大阪府,1.7,874.5
25,8,43,熊本県,1.7,757.4
27,21,21,岐阜県,1.6,382.3
27,22,08,茨城県,1.6,375.8
27,42,38,愛媛県,1.6,195.7
30,37,44,大分県,1.5,238.1
30,47,37,香川県,1.5,49.8
32,30,16,富山県,1.4,312.3
33,15,09,栃木県,1.3,508.9
33,18,03,岩手県,1.3,454.8
35,17,17,石川県,1.2,486.7
36,20,41,佐賀県,1.1,426.3
36,23,19,山梨県,1.1,362.8
36,35,36,徳島県,1.1,249.9
36,41,42,長崎県,1.1,198.6
36,45,35,山口県,1.1,113.8
41,36,39,高知県,1.0,240.0
41,39,05,秋田県,1.0,226.8
43,10,06,山形県,0.9,683.4
43,27,29,奈良県,0.9,347.1
43,33,46,鹿児島県,0.9,290.6
46,12,07,福島県,0.8,578.5
47,40,15,新潟県,0.7,203.5
