prefecture_code,prefecture_name,patient_online_rate_mean_pct,patient_rate_range_pct,internet_use_mean_pct,supply_standardized_mean_pct,rank_gap_mean,low_event_proxy_years,estimated_events_proxy_min,patient_mean_rank,supply_mean_rank,abs_rank_gap_mean,patient_supply_type
13,東京都,4.5,1.4,88.76666666666667,0.38072495494260866,0.0,0,25.651999999999997,47.0,47.0,0.0,患者側・供給側とも高い
47,沖縄県,3.0666666666666664,1.8000000000000003,81.76666666666667,0.041942192319569804,-8.666666666666666,1,7.428999999999999,46.0,36.0,8.666666666666666,患者側・供給側とも高い
14,神奈川県,2.966666666666667,1.9,88.56666666666666,0.07910913227161076,-0.8333333333333334,0,13.06,45.0,45.0,0.8333333333333334,患者側・供給側とも高い
23,愛知県,2.6333333333333333,1.3000000000000003,85.73333333333333,0.07010486954692104,-0.8333333333333334,0,13.698999999999998,44.0,42.0,0.8333333333333334,患者側・供給側とも高い
12,千葉県,2.533333333333333,0.20000000000000018,83.66666666666667,0.06838919744385684,2.0,0,13.442,42.5,41.0,2.0,患者側・供給側とも高い
01,北海道,2.533333333333333,2.0,81.39999999999999,0.0463412415788703,-3.8333333333333335,1,9.072,42.5,37.0,3.8333333333333335,患者側・供給側とも高い
11,埼玉県,2.5,1.0,85.10000000000001,0.07213771836866137,2.6666666666666665,0,15.582,41.0,43.0,2.6666666666666665,患者側・供給側とも高い
28,兵庫県,2.3000000000000003,2.5,81.73333333333333,0.04923175199775163,3.0,1,6.24,40.0,38.0,3.0,患者側・供給側とも高い
34,広島県,2.1999999999999997,0.5,85.10000000000001,0.023833003985140034,-16.5,0,14.231,39.0,16.0,16.5,患者側高・供給側低い
27,大阪府,2.1333333333333333,1.2,84.73333333333333,0.06583217303909387,8.5,1,8.347,37.5,40.0,8.5,患者側・供給側とも高い
08,茨城県,2.1333333333333333,1.1999999999999997,82.0,0.026347605973434496,-13.0,1,9.888,37.5,22.0,13.0,患者側高・供給側低い
22,静岡県,2.033333333333333,0.8999999999999999,82.36666666666667,0.0297059214748232,-10.333333333333334,0,12.465,35.5,28.0,10.333333333333334,患者側・供給側とも高い
