year,level,area_label,patient_sample_n,patient_weighted_n,patient_online_rate_pct,internet_sample_n,internet_weighted_n,internet_use_rate_pct,prefecture_code,prefecture_name,estimated_events_proxy,low_event_proxy,source_table15_stat_infid,source_internet_stat_infid
2022,都道府県,01北海道,648.0,1397.0,1.4,745.0,1642.0,85.1,01,北海道,9.072,True,000040057188,000040057181
2022,都道府県,02青森県,591.0,279.0,1.1,816.0,389.0,71.7,02,青森県,6.501,True,000040057188,000040057181
2022,都道府県,03岩手県,601.0,273.0,0.8,862.0,380.0,71.7,03,岩手県,4.808,True,000040057188,000040057181
2022,都道府県,04宮城県,670.0,607.0,0.1,800.0,723.0,83.9,04,宮城県,0.67,True,000040057188,000040057181
2022,都道府県,05秋田県,712.0,217.0,0.3,976.0,301.0,71.9,05,秋田県,2.136,True,000040057188,000040057181
2022,都道府県,06山形県,797.0,245.0,0.3,1122.0,334.0,73.2,06,山形県,2.391,True,000040057188,000040057181
2022,都道府県,07福島県,575.0,431.0,1.4,789.0,574.0,75.2,07,福島県,8.05,True,000040057188,000040057181
2022,都道府県,08茨城県,576.0,715.0,2.0,728.0,901.0,79.4,08,茨城県,11.52,False,000040057188,000040057181
2022,都道府県,09栃木県,780.0,491.0,0.9,975.0,606.0,80.9,09,栃木県,7.02,True,000040057188,000040057181
2022,都道府県,10群馬県,868.0,494.0,0.8,997.0,609.0,81.1,10,群馬県,6.944000000000001,True,000040057188,000040057181
2022,都道府県,11埼玉県,742.0,1898.0,2.1,870.0,2312.0,82.1,11,埼玉県,15.582,False,000040057188,000040057181
2022,都道府県,12千葉県,720.0,1738.0,2.6,824.0,1978.0,87.8,12,千葉県,18.72,False,000040057188,000040057181
2022,都道府県,13東京都,755.0,3929.0,3.9,856.0,4414.0,89.0,13,東京都,29.445,False,000040057188,000040057181
2022,都道府県,14神奈川県,653.0,2540.0,2.0,764.0,2912.0,87.2,14,神奈川県,13.06,False,000040057188,000040057181
2022,都道府県,15新潟県,805.0,536.0,1.1,1045.0,689.0,77.8,15,新潟県,8.855,True,000040057188,000040057181
2022,都道府県,16富山県,959.0,267.0,0.8,1176.0,325.0,82.3,16,富山県,7.672000000000001,True,000040057188,000040057181
2022,都道府県,17石川県,839.0,289.0,0.9,1026.0,355.0,81.4,17,石川県,7.551,True,000040057188,000040057181
2022,都道府県,18福井県,679.0,190.0,0.8,887.0,239.0,79.5,18,福井県,5.432,True,000040057188,000040057181
2022,都道府県,19山梨県,856.0,211.0,1.7,996.0,254.0,83.0,19,山梨県,14.552,False,000040057188,000040057181
2022,都道府県,20長野県,776.0,514.0,0.4,965.0,643.0,80.1,20,長野県,3.1040000000000005,True,000040057188,000040057181
2022,都道府県,21岐阜県,820.0,501.0,1.9,999.0,620.0,80.9,21,岐阜県,15.58,False,000040057188,000040057181
2022,都道府県,22静岡県,831.0,923.0,1.5,1035.0,1139.0,81.0,22,静岡県,12.465,False,000040057188,000040057181
2022,都道府県,23愛知県,721.0,1982.0,1.9,831.0,2360.0,84.0,23,愛知県,13.698999999999998,False,000040057188,000040057181
2022,都道府県,24三重県,665.0,466.0,1.4,821.0,555.0,84.0,24,三重県,9.309999999999999,True,000040057188,000040057181
2022,都道府県,25滋賀県,690.0,383.0,0.9,836.0,443.0,86.5,25,滋賀県,6.21,True,000040057188,000040057181
2022,都道府県,26京都府,656.0,689.0,1.9,779.0,810.0,85.0,26,京都府,12.463999999999999,False,000040057188,000040057181
2022,都道府県,27大阪府,627.0,2434.0,1.8,737.0,2779.0,87.6,27,大阪府,11.286000000000001,False,000040057188,000040057181
2022,都道府県,28兵庫県,480.0,1378.0,1.3,609.0,1713.0,80.5,28,兵庫県,6.24,True,000040057188,000040057181
2022,都道府県,29奈良県,791.0,366.0,2.3,887.0,416.0,88.1,29,奈良県,18.192999999999998,False,000040057188,000040057181
2022,都道府県,30和歌山県,612.0,227.0,1.3,790.0,289.0,78.4,30,和歌山県,7.956,True,000040057188,000040057181
2022,都道府県,31鳥取県,635.0,133.0,0.4,820.0,173.0,76.8,31,鳥取県,2.54,True,000040057188,000040057181
2022,都道府県,32島根県,700.0,165.0,1.3,886.0,210.0,78.6,32,島根県,9.1,True,000040057188,000040057181
2022,都道府県,33岡山県,645.0,470.0,1.2,835.0,592.0,79.5,33,岡山県,7.74,True,000040057188,000040057181
2022,都道府県,34広島県,749.0,751.0,1.9,863.0,875.0,85.9,34,広島県,14.231,False,000040057188,000040057181
2022,都道府県,35山口県,695.0,320.0,0.9,895.0,420.0,76.2,35,山口県,6.255,True,000040057188,000040057181
2022,都道府県,36徳島県,634.0,178.0,0.8,801.0,226.0,78.7,36,徳島県,5.072,True,000040057188,000040057181
2022,都道府県,37香川県,706.0,242.0,0.3,859.0,298.0,81.3,37,香川県,2.118,True,000040057188,000040057181
2022,都道府県,38愛媛県,630.0,334.0,0.6,765.0,418.0,79.9,38,愛媛県,3.78,True,000040057188,000040057181
