year,level,area_label,patient_sample_n,patient_weighted_n,patient_online_rate_pct,internet_sample_n,internet_weighted_n,internet_use_rate_pct,region
2022,地方,北海道,648.0,1397.0,1.4,745.0,1642.0,85.1,北海道
2022,地方,東北,3946.0,2051.0,0.6,5365.0,2702.0,75.9,東北
2022,地方,北関東,2224.0,1699.0,1.3,2700.0,2116.0,80.3,北関東
2022,地方,南関東,2870.0,10105.0,2.9,3314.0,11617.0,87.0,南関東
2022,地方,北陸,2477.0,746.0,0.9,3089.0,918.0,81.2,北陸
2022,地方,甲信越,2437.0,1261.0,0.9,3006.0,1586.0,79.6,甲信越
2022,地方,東海,3037.0,3872.0,1.7,3686.0,4674.0,82.8,東海
2022,地方,近畿,3856.0,5477.0,1.7,4638.0,6449.0,84.9,近畿
2022,地方,中国,3424.0,1839.0,1.4,4299.0,2269.0,81.0,中国
2022,地方,四国,2496.0,917.0,0.6,3126.0,1159.0,79.2,四国
2022,地方,九州・沖縄,4429.0,3521.0,1.3,5609.0,4445.0,79.2,九州・沖縄
2023,地方,北海道,558.0,1157.0,2.8,664.0,1415.0,81.8,北海道
2023,地方,東北,3583.0,1787.0,1.6,4694.0,2320.0,77.0,東北
2023,地方,北関東,1992.0,1498.0,2.1,2366.0,1828.0,81.9,北関東
2023,地方,南関東,2367.0,8840.0,3.8,2722.0,10082.0,87.7,南関東
2023,地方,北陸,2278.0,633.0,1.2,2813.0,790.0,80.1,北陸
2023,地方,甲信越,2075.0,1118.0,1.3,2494.0,1366.0,81.8,甲信越
2023,地方,東海,2566.0,3461.0,2.6,2999.0,4036.0,85.8,東海
2023,地方,近畿,3424.0,4627.0,2.1,4127.0,5570.0,83.1,近畿
2023,地方,中国,3134.0,1574.0,1.8,3982.0,1952.0,80.7,中国
2023,地方,四国,1981.0,784.0,1.5,2520.0,993.0,78.9,四国
2023,地方,九州・沖縄,3847.0,3036.0,1.2,4815.0,3844.0,79.0,九州・沖縄
2024,地方,北海道,468.0,1182.0,3.4,592.0,1530.0,77.3,北海道
2024,地方,東北,3864.0,1931.0,1.7,4984.0,2504.0,77.1,東北
2024,地方,北関東,2003.0,1631.0,1.7,2428.0,1981.0,82.4,北関東
2024,地方,南関東,2788.0,9504.0,3.5,3220.0,10961.0,86.7,南関東
2024,地方,北陸,2635.0,695.0,1.4,3145.0,853.0,81.5,北陸
2024,地方,甲信越,2052.0,1174.0,1.3,2561.0,1475.0,79.6,甲信越
2024,地方,東海,2980.0,3665.0,2.4,3507.0,4373.0,83.8,東海
2024,地方,近畿,3697.0,5063.0,2.5,4402.0,6034.0,83.9,近畿
2024,地方,中国,3207.0,1738.0,2.0,4002.0,2111.0,82.3,中国
2024,地方,四国,2238.0,839.0,1.4,2806.0,1073.0,78.2,四国
2024,地方,九州・沖縄,4354.0,3382.0,1.9,5411.0,4164.0,81.2,九州・沖縄
