"fiscal_year","prefecture_code","prefecture_name","standardized_proportion","standardized_proportion_pct"
2022,"24","三重県",0.000389956099288784,0.0389956099288783
2023,"24","三重県",0.000253306300869876,0.0253306300869876
2024,"24","三重県",0.000297864832942134,0.0297864832942134
2022,"26","京都府",0.000507809589302644,0.0507809589302644
2023,"26","京都府",0.000288805741057785,0.0288805741057785
2024,"26","京都府",0.000435145806373029,0.0435145806373029
2022,"41","佐賀県",0.000226965496035937,0.0226965496035937
2023,"41","佐賀県",0.000235663808166198,0.0235663808166198
2024,"41","佐賀県",0.000310851468284541,0.0310851468284541
2022,"28","兵庫県",0.00048013126672406,0.048013126672406
2023,"28","兵庫県",0.000409637397652352,0.0409637397652352
2024,"28","兵庫県",0.000587183895556137,0.0587183895556137
2022,"01","北海道",0.00064380941875396,0.064380941875396
2023,"01","北海道",0.000317537355614665,0.0317537355614665
2024,"01","北海道",0.000428890472997484,0.0428890472997484
2022,"12","千葉県",0.000680092093747207,0.0680092093747207
2023,"12","千葉県",0.000535265658137249,0.0535265658137249
2024,"12","千葉県",0.000836318171431249,0.0836318171431249
2022,"30","和歌山県",0.00012940324155795,0.012940324155795
2023,"30","和歌山県",8.72644224380951e-05,0.00872644224380952
2024,"30","和歌山県",9.29953910477814e-05,0.00929953910477814
2022,"11","埼玉県",0.00086548624410697,0.086548624410697
2023,"11","埼玉県",0.000576694383039865,0.0576694383039865
2024,"11","埼玉県",0.000721950923913006,0.0721950923913006
2022,"44","大分県",0.000162605502200331,0.0162605502200331
2023,"44","大分県",0.000303152162907969,0.0303152162907969
2024,"44","大分県",0.000190847955119754,0.0190847955119754
2022,"27","大阪府",0.000771369516221451,0.0771369516221451
2023,"27","大阪府",0.000537581200653957,0.0537581200653957
2024,"27","大阪府",0.000666014474297408,0.0666014474297408
2022,"29","奈良県",8.28844560626886e-05,0.00828844560626885
2023,"29","奈良県",0.000215371454076959,0.0215371454076959
2024,"29","奈良県",0.000305358339912822,0.0305358339912822
2022,"04","宮城県",9.94918021726204e-05,0.00994918021726204
2023,"04","宮城県",0.000175348321786938,0.0175348321786938
2024,"04","宮城県",0.000291104776194703,0.0291104776194703
2022,"45","宮崎県",0.000192572793172856,0.0192572793172856
2023,"45","宮崎県",0.000242066908903554,0.0242066908903554
2024,"45","宮崎県",0.000290736825027086,0.0290736825027086
2022,"16","富山県",0.000182477963161883,0.0182477963161883
2023,"16","富山県",0.000241613764960857,0.0241613764960857
2024,"16","富山県",0.000299798846859256,0.0299798846859256
2022,"35","山口県",0.000122735648307504,0.0122735648307504
2023,"35","山口県",6.9822430302051e-05,0.0069822430302051
2024,"35","山口県",9.19813034198673e-05,0.00919813034198673
2022,"06","山形県",0.000214309127287828,0.0214309127287828
2023,"06","山形県",0.000449991941335172,0.0449991941335172
2024,"06","山形県",0.000589339516277878,0.0589339516277878
2022,"19","山梨県",0.000249879589294596,0.0249879589294596
2023,"19","山梨県",0.000193768772466153,0.0193768772466153
2024,"19","山梨県",0.000328950123327152,0.0328950123327152
2022,"21","岐阜県",0.000185612400733546,0.0185612400733546
2023,"21","岐阜県",0.000189586631147617,0.0189586631147617
2024,"21","岐阜県",0.000345960478658352,0.0345960478658352
2022,"33","岡山県",0.000147523984119973,0.0147523984119973
2023,"33","岡山県",0.000106326008041284,0.0106326008041284
2024,"33","岡山県",0.000156042799667711,0.0156042799667711
2022,"03","岩手県",8.5801123773192e-05,0.0085801123773192
2023,"03","岩手県",0.000300029182137499,0.0300029182137499
2024,"03","岩手県",0.00044517333424421,0.044517333424421
2022,"32","島根県",0.00093097047824394,0.093097047824394
2023,"32","島根県",0.00141334392594431,0.141334392594431
2024,"32","島根県",0.00139561600102039,0.139561600102038
2022,"34","広島県",0.000248752820167428,0.0248752820167428
2023,"34","広島県",0.00020893045330863,0.020893045330863
2024,"34","広島県",0.000257306846078143,0.0257306846078143
2022,"36","徳島県",6.93199566942482e-05,0.00693199566942482
2023,"36","徳島県",0.000178316320371347,0.0178316320371347
2024,"36","徳島県",0.000203482458055793,0.0203482458055793
2022,"38","愛媛県",0.000231467486375914,0.0231467486375914
2023,"38","愛媛県",0.000138066454344852,0.0138066454344852
2024,"38","愛媛県",0.000159752101543642,0.0159752101543642
2022,"23","愛知県",0.000366144212938898,0.0366144212938898
2023,"23","愛知県",0.000600397577368353,0.0600397577368353
2024,"23","愛知県",0.00113660429610038,0.113660429610038
2022,"15","新潟県",0.000414032432293835,0.0414032432293835
2023,"15","新潟県",0.000185974057667297,0.0185974057667297
2024,"15","新潟県",0.000198627944911234,0.0198627944911234
2022,"13","東京都",0.002442799557408,0.2442799557408
2023,"13","東京都",0.00323336064430126,0.323336064430126
2024,"13","東京都",0.005745588446569,0.5745588446569
2022,"09","栃木県",0.000423561694461011,0.0423561694461011
2023,"09","栃木県",0.000314794062541732,0.0314794062541732
2024,"09","栃木県",0.000442039007934245,0.0442039007934245
2022,"47","沖縄県",0.00028492963030614,0.028492963030614
2023,"47","沖縄県",0.000469374386823108,0.0469374386823108
2024,"47","沖縄県",0.000503961752457846,0.0503961752457846
2022,"25","滋賀県",0.000159251556581795,0.0159251556581795
2023,"25","滋賀県",0.000151931726365778,0.0151931726365778
2024,"25","滋賀県",0.000230268093828432,0.0230268093828432
2022,"43","熊本県",0.000871081573597847,0.0871081573597847
2023,"43","熊本県",0.000651511156495588,0.0651511156495588
2024,"43","熊本県",0.00065871713812147,0.065871713812147
2022,"17","石川県",0.000264903586768498,0.0264903586768498
2023,"17","石川県",0.000398804108066215,0.0398804108066215
2024,"17","石川県",0.000456092255303553,0.0456092255303553
2022,"14","神奈川県",0.000597275230841107,0.0597275230841107
2023,"14","神奈川県",0.000685253763126636,0.0685253763126636
2024,"14","神奈川県",0.00109074497418058,0.109074497418058
2022,"18","福井県",0.000617668781869339,0.0617668781869339
2023,"18","福井県",0.000489005126961699,0.0489005126961699
2024,"18","福井県",0.000533670550246348,0.0533670550246348
2022,"40","福岡県",0.000180987059951233,0.0180987059951233
2023,"40","福岡県",0.000277944074049873,0.0277944074049873
2024,"40","福岡県",0.000425822412425847,0.0425822412425847
2022,"07","福島県",0.000199154122469458,0.0199154122469458
2023,"07","福島県",0.000447424317999801,0.0447424317999801
2024,"07","福島県",0.000554085445035314,0.0554085445035314
2022,"05","秋田県",0.000160697502280217,0.0160697502280217
2023,"05","秋田県",0.000226328356882456,0.0226328356882456
2024,"05","秋田県",0.00021880882881118,0.021880882881118
2022,"10","群馬県",0.000327778344550038,0.0327778344550037
2023,"10","群馬県",0.000249144345699136,0.0249144345699136
2024,"10","群馬県",0.000275797083372159,0.0275797083372159
2022,"08","茨城県",0.000134527937307751,0.0134527937307751
2023,"08","茨城県",0.000272855325852047,0.0272855325852047
2024,"08","茨城県",0.000383044916043237,0.0383044916043237
2022,"42","長崎県",9.12243933417748e-05,0.00912243933417748
2023,"42","長崎県",0.000110868001430783,0.0110868001430783
2024,"42","長崎県",0.000166147497345475,0.0166147497345475
2022,"20","長野県",0.000422613455212166,0.0422613455212166
2023,"20","長野県",0.000237118672204171,0.0237118672204171
2024,"20","長野県",0.000224704882467359,0.0224704882467359
2022,"02","青森県",0.000185723982129929,0.0185723982129929
2023,"02","青森県",0.000384307439080382,0.0384307439080382
2024,"02","青森県",0.000336890092650549,0.0336890092650549
2022,"22","静岡県",0.000390871092703908,0.0390871092703908
2023,"22","静岡県",0.000228074086038609,0.0228074086038609
2024,"22","静岡県",0.000272232465502179,0.0272232465502179
2022,"37","香川県",2.2480283015878e-05,0.0022480283015878
2023,"37","香川県",4.06415170365316e-05,0.00406415170365316
2024,"37","香川県",3.90494479592961e-05,0.00390494479592961
2022,"39","高知県",0.000164965625565911,0.0164965625565911
2023,"39","高知県",0.000145034104350301,0.0145034104350301
2024,"39","高知県",0.000213177979299276,0.0213177979299276
2022,"31","鳥取県",0.000169822959782766,0.0169822959782766
2023,"31","鳥取県",0.000171630134466236,0.0171630134466236
2024,"31","鳥取県",0.000112662224010721,0.0112662224010721
2022,"46","鹿児島県",0.000247011289121218,0.0247011289121218
2023,"46","鹿児島県",0.000154442619985043,0.0154442619985043
2024,"46","鹿児島県",0.000224242362726647,0.0224242362726647
